Crop Type,Field Size (hectares),Planting Date,Soil Type,Fertilizer Used,Irrigation Type,Yield_t_per_ha
Soybean,1.04,08-06-2025,Loamy,Urea,Furrow/Canal irrigation,1.111
Cotton,0.44,07-04-2023,Loamy,MOP,Rainfed,0.461
Groundnut,0.22,26-06-2024,Alluvial,Compost/Organic Manure,Sprinkler Irrigation,1.576
Maize,2.56,04-10-2024,Sandy,Urea,Furrow/Canal irrigation,3.713
Soybean,0.14,13-06-2025,Sandy,DAP,Rainfed,0.774
Potato,0.51,02-06-2025,Silty,Compost/Organic Manure,Furrow/Canal irrigation,23.276
Potato,0.83,21-11-2024,Laterite,Urea,Flood Irrigation,16.522
Sugarcane,0.79,18-10-2025,Laterite,Urea,Flood Irrigation,88.063
Onion,1.99,08-04-2025,Laterite,Compost/Organic Manure,Flood Irrigation,19.707
Rice,1.01,13-07-2024,Alluvial,MOP,Sprinkler Irrigation,4.805
Rice,1.32,19-07-2025,Clay,DAP,Furrow/Canal irrigation,4.291
Cotton,1.54,05-04-2025,Silty,Compost/Organic Manure,Rainfed,0.44
Rice,1.9,17-07-2025,Loamy,NPK,Furrow/Canal irrigation,5.269
Sugarcane,0.47,25-11-2025,Silty,Urea,Rainfed,78.095
Maize,0.23,17-09-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,3.647
Soybean,0.31,18-06-2024,Alluvial,Biofertilizers,Furrow/Canal irrigation,1.216
Soybean,2.41,27-06-2023,Laterite,DAP,Flood Irrigation,0.888
Cotton,1.47,27-07-2023,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,0.422
Rice,0.17,09-06-2025,Silty,MOP,Furrow/Canal irrigation,4.597
Onion,2.27,22-05-2025,Silty,NPK,Rainfed,22.465
Rice,0.85,19-06-2023,Silty,MOP,Drip Irrigation,5.96
Sugarcane,0.51,28-10-2024,Loamy,NPK,Flood Irrigation,107.567
Maize,7.09,08-07-2025,Laterite,Compost/Organic Manure,Sprinkler Irrigation,3.701
Rice,5.2,15-07-2024,Alluvial,Urea,Rainfed,4.635
Soybean,0.29,26-06-2024,Alluvial,DAP,Sprinkler Irrigation,1.149
Maize,0.73,08-10-2024,Alluvial,Urea,Furrow/Canal irrigation,3.687
