Brand,Processor,RAM_GB,Storage_GB,Operating_System,GPU,Rating,Price_USD
MSI,AMD Ryzen 3,4,512,macOS,AMD Radeon,4.2,1092.04
Lenovo,Intel i7,32,128,macOS,NVIDIA GTX 1650,3.1,1934.84
Asus,AMD Ryzen 7,8,256,Windows 10,Integrated,3.6,758.86
Dell,Intel i7,16,512,Windows 11,AMD Radeon,3.6,1430.88
MSI,AMD Ryzen 7,8,512,Windows 11,NVIDIA RTX 3050,3.8,1457.77
Acer,Intel i7,16,128,Windows 10,NVIDIA RTX 3050,3.0,1379.07
Dell,AMD Ryzen 3,8,256,Windows 11,Integrated,3.0,648.62
Asus,AMD Ryzen 3,4,1024,macOS,NVIDIA RTX 3050,4.8,1760.82
Asus,Intel i5,32,1024,Windows 11,NVIDIA GTX 1650,4.0,2169.59
MSI,Intel i5,8,1024,Windows 11,NVIDIA GTX 1650,4.8,1683.96
Apple,AMD Ryzen 7,16,1024,Windows 10,NVIDIA GTX 1650,3.7,2258.31
Acer,Intel i5,4,1024,Windows 10,Integrated,3.6,1315.21
Acer,Intel i3,4,512,Windows 10,AMD Radeon,3.8,857.32
Lenovo,Intel i3,16,128,Windows 11,NVIDIA RTX 3050,4.3,1034.4
Asus,Intel i3,32,1024,Windows 11,Integrated,3.1,1836.22
Lenovo,AMD Ryzen 3,32,256,macOS,NVIDIA RTX 3050,3.9,1815.08
Acer,AMD Ryzen 7,16,128,Windows 10,NVIDIA GTX 1650,3.5,1206.28
Asus,AMD Ryzen 5,16,512,macOS,Integrated,3.6,1584.57
Asus,AMD Ryzen 7,4,512,macOS,Integrated,4.1,1481.32
Asus,Intel i5,8,128,Windows 11,Integrated,3.2,814.18
Asus,AMD Ryzen 3,32,1024,Windows 11,NVIDIA GTX 1650,4.1,2066.55
Dell,Intel i7,8,128,Windows 10,Integrated,3.6,827.83
Apple,Intel i7,4,256,Windows 10,Integrated,3.2,1288.77
Apple,Intel i3,32,128,Windows 11,Integrated,3.5,1589.95
Asus,AMD Ryzen 7,16,256,macOS,Integrated,3.3,1449.97
MSI,AMD Ryzen 5,32,128,Windows 10,NVIDIA RTX 3050,4.4,1678.27
Acer,AMD Ryzen 3,8,1024,Windows 11,AMD Radeon,4.2,1303.13
Dell,AMD Ryzen 7,32,128,Windows 11,NVIDIA GTX 1650,3.8,1600.71
MSI,Intel i3,4,1024,macOS,NVIDIA GTX 1650,4.4,1687.97
Asus,Intel i7,8,512,macOS,NVIDIA RTX 3050,3.7,1823.91
MSI,AMD Ryzen 3,4,128,macOS,NVIDIA GTX 1650,4.7,1090.09
HP,AMD Ryzen 7,8,512,macOS,AMD Radeon,3.3,1525.1
Dell,AMD Ryzen 3,32,128,Windows 11,Integrated,3.2,1094.4
Lenovo,Intel i7,32,1024,macOS,AMD Radeon,4.8,2558.5
Dell,AMD Ryzen 3,16,128,Windows 11,AMD Radeon,4.2,815.51
Apple,Intel i7,32,128,Windows 10,AMD Radeon,4.4,1761.14
Dell,AMD Ryzen 7,4,1024,macOS,NVIDIA RTX 3050,4.3,2004.13
Lenovo,AMD Ryzen 7,16,256,Windows 11,NVIDIA GTX 1650,4.9,1365.74
Acer,Intel i7,8,1024,macOS,NVIDIA RTX 3050,4.6,2374.28
Dell,AMD Ryzen 5,32,128,macOS,AMD Radeon,3.0,1659.43
Dell,Intel i3,32,1024,Windows 11,Integrated,3.6,1943.74
Acer,AMD Ryzen 5,4,256,Windows 10,NVIDIA RTX 3050,4.9,1092.79
Dell,AMD Ryzen 3,16,128,Windows 10,AMD Radeon,4.7,732.95
Dell,Intel i5,16,256,Windows 11,NVIDIA RTX 3050,4.1,1316.33
HP,AMD Ryzen 7,16,256,macOS,NVIDIA RTX 3050,3.6,1821.01
Dell,Intel i7,8,1024,macOS,Integrated,3.6,1835.5
HP,Intel i7,8,128,Windows 10,AMD Radeon,4.0,960.2
Dell,AMD Ryzen 7,32,256,macOS,NVIDIA RTX 3050,3.1,2155.35
HP,Intel i5,32,512,macOS,NVIDIA GTX 1650,3.7,2170.84
Dell,AMD Ryzen 3,8,256,macOS,NVIDIA GTX 1650,4.1,1215.37
Acer,Intel i3,32,128,Windows 10,NVIDIA RTX 3050,3.2,1505.82
MSI,Intel i7,16,1024,Windows 10,NVIDIA GTX 1650,4.0,1920.33
Apple,Intel i7,4,1024,macOS,NVIDIA RTX 3050,3.9,2411.31
HP,Intel i5,4,512,Windows 11,AMD Radeon,4.1,1084.2
Dell,AMD Ryzen 5,4,128,Windows 10,NVIDIA RTX 3050,4.3,1076.56
Lenovo,AMD Ryzen 3,8,1024,macOS,Integrated,3.2,1584.48
Acer,AMD Ryzen 7,32,128,macOS,Integrated,3.6,1711.21
Apple,AMD Ryzen 7,4,512,Windows 11,NVIDIA GTX 1650,4.9,1741.86
Asus,Intel i5,32,512,Windows 11,NVIDIA GTX 1650,4.9,2098.63
Acer,AMD Ryzen 3,32,1024,macOS,NVIDIA GTX 1650,3.1,2425.51
Lenovo,AMD Ryzen 3,32,1024,Windows 11,NVIDIA RTX 3050,4.3,2379.18
Acer,AMD Ryzen 3,16,128,Windows 10,AMD Radeon,4.8,655.99
Asus,AMD Ryzen 5,4,1024,macOS,NVIDIA GTX 1650,3.0,1890.27
Dell,Intel i5,32,128,Windows 11,NVIDIA GTX 1650,3.0,1505.7
HP,Intel i7,4,512,Windows 11,Integrated,3.7,1093.25
Asus,Intel i5,4,128,macOS,Integrated,4.5,946.5
Asus,Intel i5,4,512,macOS,NVIDIA GTX 1650,4.1,1516.94
MSI,Intel i3,16,128,Windows 11,Integrated,4.1,719.06
Asus,Intel i3,8,128,macOS,NVIDIA RTX 3050,3.8,1182.07
Apple,AMD Ryzen 3,16,256,macOS,AMD Radeon,3.9,1558.82
Lenovo,AMD Ryzen 3,4,1024,macOS,Integrated,4.5,1566.01
Acer,AMD Ryzen 5,8,256,macOS,NVIDIA GTX 1650,4.1,1401.93
Acer,Intel i7,16,128,macOS,NVIDIA RTX 3050,3.2,1683.37
Asus,Intel i3,4,256,macOS,NVIDIA GTX 1650,4.4,1062.52
HP,Intel i3,8,512,Windows 11,NVIDIA GTX 1650,3.2,1000.99
Asus,Intel i3,16,512,Windows 10,Integrated,4.5,1004.04
Apple,AMD Ryzen 3,16,512,Windows 10,AMD Radeon,4.1,1573.92
MSI,AMD Ryzen 7,16,128,Windows 10,NVIDIA GTX 1650,3.9,1240.4
HP,AMD Ryzen 3,32,1024,Windows 10,NVIDIA RTX 3050,4.3,2258.15
Apple,Intel i3,16,1024,Windows 10,Integrated,4.7,2034.16
Apple,AMD Ryzen 5,8,256,Windows 10,AMD Radeon,4.1,1234.74
Acer,Intel i7,32,128,macOS,NVIDIA RTX 3050,4.9,2044.61
HP,Intel i3,4,256,macOS,NVIDIA RTX 3050,5.0,1137.51
MSI,Intel i3,16,1024,Windows 11,AMD Radeon,3.1,1633.64
Apple,AMD Ryzen 3,32,1024,Windows 10,AMD Radeon,3.3,2228.52
Asus,Intel i5,32,1024,Windows 10,Integrated,3.5,2188.39
Lenovo,AMD Ryzen 7,16,128,Windows 10,Integrated,3.8,938.81
Acer,AMD Ryzen 7,16,128,Windows 11,NVIDIA GTX 1650,3.8,1303.37
Acer,Intel i3,8,256,Windows 11,NVIDIA GTX 1650,4.1,881.57
Apple,Intel i3,8,1024,macOS,Integrated,3.8,1931.46
HP,Intel i3,8,512,macOS,Integrated,4.7,1025.68
Dell,AMD Ryzen 5,32,512,Windows 11,AMD Radeon,4.6,1592.0
MSI,AMD Ryzen 5,8,512,Windows 10,NVIDIA RTX 3050,4.5,1336.12
Apple,Intel i3,16,128,Windows 10,AMD Radeon,3.5,1082.47
Dell,Intel i5,32,512,macOS,NVIDIA GTX 1650,4.0,2255.26
HP,AMD Ryzen 3,4,256,Windows 10,NVIDIA GTX 1650,4.8,797.93
Dell,Intel i3,32,512,macOS,NVIDIA RTX 3050,4.5,2221.28
Lenovo,AMD Ryzen 7,32,1024,Windows 11,NVIDIA GTX 1650,4.2,2435.04
