age,income,credit_score,transactions_month,avg_purchase_value,days_since_last_login,tenure_months,num_products,gender,region,churn
56,,770.8874695863384,29,84.82868870352047,143,90,1,Male,South,1
69,53051.954538008344,622.0254670069778,41,133.94380479443922,72,96,4,Female,East,1
46,38654.73882073545,665.727930802632,36,114.99302286467343,155,88,3,Male,North,1
32,28666.19435603489,715.2813582311163,29,153.87528415539657,76,110,2,Male,South,0
60,40301.4067363621,,27,115.3910306979121,168,99,2,Male,East,1
25,,526.7433831613457,18,104.60228446359676,286,37,4,Female,South,0
38,75307.12452608848,,40,141.6363407424396,84,96,1,Female,North,0
56,63224.59635424176,738.3808872399028,35,155.04676668764932,181,71,3,Male,West,1
36,49880.41038025074,611.3699297875287,33,93.26619220612793,314,33,4,Male,West,1
40,72199.16208335038,829.0739499967776,24,117.55697314590496,296,31,4,Male,East,0
28,254852.4782908424,610.5026680939828,20,77.66237465433389,111,55,2,Male,West,0
28,37080.73698007604,662.9185912237925,36,20.077559300282417,229,12,3,Female,East,0
41,72846.86115904486,757.9476966797513,22,128.01838525654915,95,11,1,Male,South,1
53,58083.65065526988,790.4265021711386,27,144.35621425018527,167,88,2,Female,East,0
57,34441.30768510315,794.3052503645479,30,130.48267236346902,155,72,4,Male,East,0
41,47144.91982874588,734.58563614152,28,42.017531289825314,104,32,2,Female,East,1
20,36865.726199228644,721.6843768068023,27,105.96602279694102,192,57,2,Male,West,0
39,29258.00403553496,691.4768864440828,43,31.26608959795675,329,38,5,Female,East,1
19,63892.66321297462,704.4852753316646,28,174.7880443061674,131,60,2,Female,North,0
41,78641.24960705196,611.4169998570027,22,76.55781671527656,354,86,2,Female,East,1
61,29021.486392712883,592.7260781604385,31,170.21614437839585,137,98,3,Male,South,0
47,58444.538550358564,649.7637879812333,33,157.83478574736583,330,19,2,Female,North,1
55,40240.361463172594,638.087076423255,37,83.97638589855754,269,116,1,Male,South,1
19,42693.11924352956,618.2740365470908,29,74.6886019492902,37,84,4,Female,South,0
38,41114.09113641696,698.7471213219701,24,134.01480865545352,44,56,3,Female,South,1
50,37040.138454802756,716.8713645999358,24,86.22703851267715,162,14,2,Male,North,0
29,50727.82441917241,656.1884820404293,25,124.0993856863283,330,33,1,Female,North,1
39,37535.748253834434,753.4271056738684,24,100.68689636772326,252,10,4,Female,West,1
