age,income,loan_amount,credit_score,city,employment_type,target
56,25903.30519613641,286348.19256167026,789.4760747217683,Chennai,Salaried,158793.63169785854
69,53051.954538008344,180018.1907192699,596.3340388551657,Chennai,Salaried,115596.09396500596
46,38654.73882073545,211234.2362875943,611.5310004863994,Chennai,Salaried,127231.05763806657
32,28666.19435603489,246629.5415936545,710.1711520885862,Chennai,Unemployed,145102.18707802537
60,40301.4067363621,129081.71335334842,622.900854514734,Hyderabad,Unemployed,110623.12840426076
25,33776.779945784074,111959.55940096121,646.8212147447433,Bangalore,Unemployed,72977.94340498176
38,75307.12452608848,123717.18427149527,651.7771894379687,Bangalore,Salaried,83622.76752222814
56,63224.59635424176,263129.2051713591,515.622879066164,Bangalore,Unemployed,135490.0769592314
36,49880.41038025074,172407.09270537767,649.0313577734034,Bangalore,Self-Employed,95704.81506259223
40,72199.16208335038,327909.9642834126,601.7190558155078,Hyderabad,Unemployed,203985.40783239558
28,51160.524614714275,171787.62006713057,615.481402432016,Mumbai,Salaried,114596.0265100308
28,37080.73698007604,209227.56515985186,751.054240242817,Mumbai,Self-Employed,109748.68561122697
41,72846.86115904486,277105.4976283938,562.044517400452,Hyderabad,Unemployed,190669.37674590712
53,58083.65065526988,300304.64440795616,706.9243630723585,Hyderabad,Self-Employed,177914.3058078977
57,34441.30768510315,303075.1788318199,630.4725948767734,Chennai,Self-Employed,172777.87486901204
41,47144.91982874588,260418.3115296571,630.4167882052916,Chennai,Salaried,173099.05139486605
20,36865.726199228644,251203.12629057313,705.3260327236198,Chennai,Self-Employed,161109.09854057347
39,29258.00403553496,229626.34746005916,673.8035906198223,Bangalore,Self-Employed,138139.98560520992
19,63892.66321297462,238918.0538083319,689.9429098053672,Chennai,Salaried,153818.39437437456
41,78641.24960705196,172440.71418357332,,Mumbai,Salaried,126218.31219798392
61,29021.486392712883,159090.05582888465,626.8084131771674,Bangalore,Salaried,92109.8866469077
47,58444.538550358564,199831.27712945238,607.1434285844575,Chennai,Self-Employed,126388.3633911203
55,,191490.76887375358,574.0394631409541,Bangalore,Self-Employed,119301.09244798523
19,42693.11924352956,177338.59753363623,592.2212629014731,Mumbai,Self-Employed,106131.62122510759
38,41114.09113641696,234819.37237283576,856.4366097716107,Chennai,Salaried,128654.08452790354
50,37040.138454802756,247765.26042852554,737.1275706515751,Mumbai,Unemployed,139704.64344413267
29,50727.82441917241,204420.34431459237,555.4247943654385,Mumbai,Self-Employed,113103.44134764308
39,37535.748253834434,273876.5040527631,557.42794302795,Mumbai,Unemployed,154416.9816415337
61,54056.85238669758,142915.54429332475,683.7306243202944,Chennai,Salaried,76707.56258580946
42,49246.42835826294,190317.0270360141,688.3085358164577,Hyderabad,Self-Employed,120225.91248872598
66,46415.77929700386,164158.88396985974,,Chennai,Unemployed,86575.64950307155
44,36386.545069376036,106673.169146347,632.1530944512411,Mumbai,Self-Employed,66539.34843856868
59,41348.43004147501,195865.96570786505,641.2182017997969,Chennai,Self-Employed,121790.70462918146
45,61330.86838738634,193912.62458083584,672.951566691155,Mumbai,Self-Employed,129996.55558867067
33,57513.75781436571,275672.48716210655,656.0125104405331,Hyderabad,Unemployed,168374.08811860334
32,35336.67132802174,231540.58422773887,494.64897390767254,Bangalore,Salaried,134515.12239609146
64,51489.98458143839,148790.65878353975,633.9140258597364,Hyderabad,Self-Employed,84988.73187232384
68,61270.80685057683,292704.6283167094,590.401549601778,Hyderabad,Salaried,180443.65525821314
61,24958.920783179423,261051.68477626765,662.2647993235959,Bangalore,Salaried,133672.1529712725
69,58150.402885699026,229104.88517343078,858.9681301822387,Chennai,Unemployed,151533.00295879075
20,40060.643615812296,188675.7950575084,675.7237165832013,Bangalore,Unemployed,119390.37535414696
54,58558.98002889739,152028.03816382602,628.0529219679321,Chennai,Salaried,113451.25745765692
68,38551.11265186225,181389.66119644736,714.5261051384076,Chennai,Self-Employed,109654.1102853294
24,22926.768490032213,254437.4309852093,683.7881521046448,Mumbai,Unemployed,132746.98648855055
38,25586.86343175256,294229.31529673043,679.4066143316289,Mumbai,Self-Employed,148658.25757961476
26,50721.27419992073,277162.1764136095,692.4795415250969,Bangalore,Self-Employed,148906.47253630264
56,,175557.5289106863,793.9580495380678,Hyderabad,Self-Employed,95519.34872240036
35,36435.25062343387,144019.12833554944,570.8378095271859,Bangalore,Salaried,98068.54661944238
21,59578.88688166061,207044.3123455602,683.1542453768018,Chennai,Self-Employed,138901.5342213703
42,25077.1990659656,111578.03172185742,585.1533209012923,Mumbai,Salaried,74700.7080422998
31,49008.80302029025,216158.38570923908,688.8858852439574,Bangalore,Salaried,129340.28349241341
67,31834.75700356315,192619.87068506656,585.6919441959734,Bangalore,Self-Employed,132326.87625018708
26,40222.45838296761,176698.1749065879,620.7843230476441,Mumbai,Self-Employed,105642.1833690206
43,50710.98006974621,120264.84663666022,629.3437060033466,Mumbai,Self-Employed,83848.32248072638
19,37093.799520740715,225680.00532848583,718.3071703541297,Mumbai,Self-Employed,130672.69909071524
37,44231.66683655262,173364.95801690442,714.291811075969,Chennai,Salaried,103711.81650554322
45,65094.39213821661,141504.1582144856,562.7997836487531,Mumbai,Self-Employed,102218.13948350628
64,41346.62195715277,56386.88933591754,653.8453877699894,Hyderabad,Self-Employed,40800.91824075927
24,62535.38168097712,198624.2547474682,600.329410167558,Bangalore,Salaried,117070.25771455641
61,33054.397180135726,288612.5798334872,561.9046562527266,Mumbai,Unemployed,166656.34948740515
25,57947.06266872924,283062.9607273935,634.808806470294,Mumbai,Unemployed,160287.6035633951
64,71623.5293098685,177145.1871706864,628.4062048080926,Chennai,Salaried,117678.53470713648
52,12925.332498090662,169889.39698191098,819.8701540441866,Chennai,Unemployed,93607.71858318929
31,38046.57116794285,223438.71280375117,680.3071877752487,Bangalore,Salaried,129820.88664774445
34,58656.081907708096,150080.7280405854,553.5667749472034,Hyderabad,Self-Employed,91439.96515741093
53,46954.31920935511,430179.1899819466,610.465819708034,Bangalore,Self-Employed,228874.66142336922
67,55567.188100569634,238304.0139192345,721.4968306800579,Mumbai,Unemployed,134839.8104784859
57,122820.66659778806,261346.66119421538,796.1909941008947,Hyderabad,Self-Employed,183914.7416160676
21,51298.8468120935,194992.29617600236,538.9811681433429,Hyderabad,Unemployed,119994.46215557597
19,47664.84146911881,189816.3124911517,518.4052930402669,Hyderabad,Unemployed,123577.16985465081
23,67516.73092489711,156100.87066217195,780.9675622760248,Hyderabad,Self-Employed,116368.99587675497
59,53816.31264951819,158655.982298007,677.2729924159632,Bangalore,Self-Employed,97646.47159666185
21,55064.039931128034,188676.05540492365,589.2195087686544,Chennai,Unemployed,125565.28461337241
46,43821.84550816299,218368.2753408089,687.4240360285705,Chennai,Self-Employed,129063.72446380473
35,,245679.23131166247,465.49765826881855,Mumbai,Salaried,138713.62917540068
43,43511.627182705684,159841.05246598276,650.2362854618012,Chennai,Self-Employed,112000.04820902886
61,55916.78213567445,274634.42844797607,672.9474820990159,Chennai,Self-Employed,166359.40831383487
51,43685.232787696055,186443.81994787155,714.698909767648,Chennai,Salaried,109950.22635728381
27,54346.62285344619,198931.63528257818,579.0272833395223,Chennai,Self-Employed,126448.01048598465
53,81131.01197968159,162639.41604260882,655.9981012982352,Mumbai,Self-Employed,99561.86610649533
31,63066.87055147538,78787.98698635292,585.2202761758289,Bangalore,Unemployed,66639.38723177354
48,45109.647017482384,244202.26981805247,667.8768628972022,Hyderabad,Self-Employed,127316.88213466115
65,68018.20883245918,236842.19485462166,587.3257574345884,Chennai,Self-Employed,134855.82139271262
32,43878.86940467673,185933.62214408934,621.4329412587846,Bangalore,Salaried,118191.19828872672
25,19428.13197233219,,580.2929223646839,Chennai,Unemployed,86603.67677170021
31,34878.70533623894,225796.96088520496,695.579536927656,Chennai,Unemployed,148343.00600349827
40,21938.121184612166,121872.70715567286,710.0915781659666,Hyderabad,Unemployed,82963.63292192576
