customer_age,annual_income,tenure_months,monthly_bill,support_calls,complaints,data_usage_gb,late_payments,satisfaction_score,discount_percent,contract_type,internet_service,payment_method,region,churn
55.0,62038.0,24.7,88.11,1.0,1.0,20.15,1.0,6.1,20.1,,Fiber,AutoPay,North,1
35.0,79163.0,84.5,450.0,3.0,2.0,25.61,2.0,6.4,16.9,Two year,DSL,Credit Card,East,0
46.0,72884.0,17.4,72.68,2.0,0.0,3.37,2.0,8.4,10.9,Month-to-month,fiber,Bank Transfer,West,0
,44419.0,24.5,,2.0,1.0,13.42,2.0,6.0,3.2,Month-to-month,Fiber,AutoPay,South,1
31.0,93307.0,43.7,71.38,3.0,0.0,13.88,0.0,8.1,6.7,One year,Fiber,UPI,North,0
44.0,,24.2,115.56,3.0,2.0,14.43,1.0,7.8,31.0,Month-to-month,DSL,Bank Transfer,South,0
38.0,97404.0,19.3,71.22,1.0,0.0,8.7,2.0,10.0,22.8,Two year,None,AutoPay,East,0
36.0,52206.0,27.7,49.21,3.0,0.0,8.25,1.0,6.2,9.2,One year,DSL,,West,0
43.0,62173.0,56.8,76.51,2.0,3.0,14.47,0.0,5.2,3.9,One year,Fiber,AutoPay,Central,0
34.0,30970.0,27.9,37.95,3.0,2.0,26.53,1.0,7.4,,One year,Fiber,Bank Transfer,East,0
39.0,49736.0,20.0,55.0,2.0,3.0,17.16,2.0,4.1,16.6,One year,Fiber,UPI,South,1
37.0,100119.0,25.1,91.26,1.0,2.0,8.28,1.0,7.4,6.8,Month-to-month,5G,Bank Transfer,Central,0
32.0,45392.0,31.9,78.18,2.0,1.0,31.31,1.0,10.0,2.0,One year,5G,Bank Transfer,south ,1
45.0,48558.0,57.4,91.97,4.0,2.0,22.36,2.0,6.6,18.0,One year,DSL,Cash,North,0
48.0,68234.0,36.6,100.37,1.0,1.0,16.36,2.0,7.3,21.1,Month-to-month,Fiber,Credit Card,North,1
37.0,73407.0,35.6,49.43,0.0,1.0,15.74,2.0,7.4,25.2,One year,DSL,,North,1
34.0,40938.0,28.8,62.19,3.0,1.0,21.69,0.0,9.1,7.2,Two year,Fiber,Bank Transfer,West,0
47.0,70013.0,30.3,96.18,2.0,0.0,16.09,0.0,6.5,9.0,Month-to-month,None,Bank Transfer,North,0
58.0,74540.0,37.5,100.01,3.0,2.0,4.3,1.0,8.4,11.7,Month-to-month,Fiber ,AutoPay,West,0
