date,age,income,loan_amount,credit_score,num_transactions,annual_spend,city,employment_type,loan_type,target
2020-01-01,63,63013.19170350368,279389.8114309501,616.0296328800085,31,690432.3741762263,Bangalore,Unemployed,Auto,294319.22777381074
2020-01-02,20,47161.8594810096,950897.4540632246,716.5612942149496,33,595108.615367174,Bangalore,Student,Home,154516.64867316012
2020-01-03,46,55234.34509427124,,564.9911963308264,28,998991.150248172,Delhi,Student,Auto,252354.50706234775
2020-01-04,52,74712.76516030356,431159.0146922119,572.7360331698836,25,700779.9728139075,Chennai,Unemployed,Home,226719.20392939833
2020-01-05,56,82830.58810803239,272730.0543647339,813.6300553099068,34,1105784.066578149,Delhi,Unemployed,Home,225838.34692947686
2020-01-06,35,51850.084381759465,358787.4100686087,653.483969259447,44,1060459.838733623,Bangalore,Self-Employed,Education,222714.88819363897
2020-01-07,37,79294.88519542232,,647.5729631644681,32,1045231.9488312528,Hyderabad,Student,Home,265690.72198649216
2020-01-08,60,66978.31150024687,375204.58573831466,659.5768656339694,34,,Hyderabad,Student,Auto,260507.95273209384
2020-01-09,40,69222.34955495202,399661.6454001119,673.9625190085354,42,1234309.5719447949,Mumbai,Unemployed,Education,283937.41973356134
2020-01-10,51,33225.335551861164,290629.23090998904,548.0916488419081,35,632020.3630889499,Bangalore,Self-Employed,Auto,144583.5109248118
2020-01-11,50,86271.222866885,180048.71088488813,563.2498764869252,37,1587374.1327620046,Mumbai,Unemployed,Home,219125.51564023792
2020-01-12,67,52501.460154232074,144132.65551895488,767.6559955817168,37,625227.8767808217,Delhi,Salaried,Education,150717.6323777951
2020-01-13,65,7788.192372575111,28072.1392611005,805.6308895713825,26,974281.4518473541,Bangalore,Salaried,Education,147726.57596869682
2020-01-14,27,47586.75665830278,371894.6643133112,603.7884837836838,33,953095.0677109046,Chennai,Salaried,Personal,183652.53210376564
2020-01-15,50,60530.40667441753,374946.19589277625,518.6487822026486,30,786511.0663662043,Bangalore,Student,Home,233127.16104819337
2020-01-16,64,-5135.35934237262,255218.26103768384,604.8492496985555,26,609870.3827836758,Delhi,Student,Personal,172151.82242238842
2020-01-17,50,103020.68020468323,311974.9312359871,592.0433984703755,25,617340.581243908,Bangalore,Student,Personal,300175.3058500796
2020-01-18,65,55505.17815896368,324854.06356058805,595.2427645426287,27,642610.3380098839,Bangalore,Salaried,Auto,174116.95097542228
2020-01-19,43,56178.091647011184,,677.2129953843954,26,891849.9639617065,Delhi,Unemployed,Education,173684.9596545999
