id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
0,yes,adult,530001,38.1,132,24,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,less_1_liter,6.5,decreased,distend_small,57,8.5,serosanguious,3.4,yes,2209,0,0,no,died
1,yes,adult,533836,37.5,88,12,cool,normal,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,,more_1_liter,2,absent,distend_small,33,64,serosanguious,2,yes,2208,0,0,no,euthanized
2,yes,adult,529812,38.3,120,28,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,,3.5,,distend_large,37,6.4,serosanguious,3.4,yes,5124,0,0,no,lived
3,yes,adult,5262541,37.1,72,30,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,2,decreased,distend_small,53,7,cloudy,3.9,yes,2208,0,0,yes,lived
4,no,adult,5299629,38,52,48,normal,normal,normal_pink,less_3_sec,alert,hypomotile,,slight,less_1_liter,7,normal,normal,47,7.3,cloudy,2.6,no,0,0,0,yes,lived
5,no,adult,529642,38.1,56,32,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,,,more_1_liter,5,decreased,firm,49,8,cloudy,2.8,no,0,0,0,yes,lived
6,yes,adult,534787,38.3,36,16,cool,reduced,normal_pink,less_3_sec,severe_pain,normal,slight,,more_1_liter,2,decreased,,43,75,cloudy,1,no,3111,0,0,yes,euthanized
7,no,adult,529461,39.2,114,24,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,,4.5,absent,distend_small,57,7.6,serosanguious,4.5,yes,2207,0,0,yes,died
8,no,adult,528742,37.4,48,12,cool,reduced,normal_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,7,normal,firm,40,7.8,cloudy,2.6,no,0,0,0,yes,lived
9,yes,adult,529640,38.3,129,48,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,,4.4,,,57,4.9,cloudy,2.9,yes,3209,0,0,yes,died
10,yes,adult,529642,38.3,84,48,cool,normal,pale_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,5.3,absent,distend_small,46,7.5,cloudy,2,yes,2208,0,0,yes,died
11,yes,adult,528682,39.3,84,30,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,,more_1_liter,2,absent,distend_large,65,8,clear,2,yes,3205,0,0,no,euthanized
12,yes,adult,530028,38.1,164,36,warm,normal,pale_pink,less_3_sec,alert,hypomotile,moderate,slight,less_1_liter,6,decreased,distend_small,44,6.7,serosanguious,3.6,no,3205,0,0,yes,lived
13,yes,adult,528548,38,66,12,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,,4.5,absent,distend_large,60,7.4,serosanguious,3.9,yes,2124,0,0,yes,lived
14,yes,adult,528134,38,124,88,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,,slight,more_1_liter,7,,,39,13,serosanguious,6.6,yes,2206,0,0,yes,lived
15,no,adult,528305,38.3,44,24,warm,normal,pale_pink,less_3_sec,alert,hypermotile,,slight,,3,normal,,33,6.5,cloudy,3.6,no,31110,0,0,yes,lived
16,yes,adult,534885,37.8,60,16,cool,,normal_pink,less_3_sec,depressed,normal,,,more_1_liter,2,normal,,37,75,,1,yes,2208,0,0,no,euthanized
17,yes,adult,5290482,38.8,72,24,cold,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,moderate,,more_1_liter,4.5,absent,distend_large,52,7.4,serosanguious,3.3,no,3205,0,0,yes,lived
18,yes,adult,5279822,38.1,96,48,cool,reduced,dark_cyanotic,more_3_sec,,,,slight,more_1_liter,5,,,72,6.8,,3.6,yes,2205,0,0,no,died
19,yes,adult,5299629,37.5,70,36,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,,slight,less_1_liter,7.5,normal,normal,35,8.4,serosanguious,4.5,yes,7111,0,0,yes,died
20,yes,adult,533692,37.8,48,16,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,,slight,more_1_liter,2,absent,distend_large,53,53,clear,2,yes,3205,0,0,no,euthanized
21,yes,adult,535208,37.5,96,24,cool,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,2,,distend_small,66,65,serosanguious,2,yes,2208,0,0,no,euthanized
